Colour,Units,Year,Rank
Grey,30023,2019,1
Black,14184,2019,2
White/Ivory,11900,2019,3
Blue,11601,2019,4
Red/Maroon,9563,2019,5
Brown,1364,2019,6
Green,509,2019,7
Orange,506,2019,8
Yellow,181,2019,9
White/Ivory and Black,179,2019,10
Red/Maroon and Black,170,2019,11
Grey and Black,130,2019,12
Blue and Black,104,2019,13
Red/Maroon and Grey,42,2019,14
White/Ivory and Grey,40,2019,15
Orange and Black,34,2019,16
Purple,31,2019,17
Black and White/Ivory,27,2019,18
Blue and White/Ivory,26,2019,19
Black and Greys,21,2019,20
Yellow and Black,20,2019,21
Blue and Grey,15,2019,22
Silver/Aluminium,10,2019,23
White/Ivory and Red/Maroon,7,2019,24
Green and Black,4,2019,25
Grey and White/Ivory,2,2019,26
Purple and Black,2,2019,27
Beige,1,2019,28
Black and Red/Maroon,1,2019,29
Bronze,1,2019,30
Brown and Black,1,2019,31
Brown and White,1,2019,32
Grey / Orange,1,2019,33
Orange and Grey,1,2019,34
Red/Maroon and White/Ivory,1,2019,35
White and Orange,1,2019,36
Purple / Grey,0,2019,37
Red/Maroon and Red/Maroon,0,2019,38
Yellow and Grey,0,2019,39
Grey,47779,2018,1
Black,23077,2018,2
White/Ivory,18628,2018,3
Blue,16267,2018,4
Red/Maroon,14677,2018,5
Brown,2527,2018,6
Orange,598,2018,7
Green,508,2018,8
Yellow,346,2018,9
White/Ivory and Black,287,2018,10
Red/Maroon and Black,231,2018,11
Grey and Black,135,2018,12
Blue and Black,124,2018,13
Purple,102,2018,14
Orange and Black,63,2018,15
White/Ivory and Grey,50,2018,16
Red/Maroon and Grey,46,2018,17
Yellow and Black,34,2018,18
Blue and Grey,31,2018,19
Black and Greys,30,2018,20
Black and White/Ivory,26,2018,21
Silver/Aluminium,23,2018,22
Purple / Grey,14,2018,23
Grey / Orange,12,2018,24
Blue and White/Ivory,11,2018,25
Brown and Black,5,2018,26
Orange and Grey,5,2018,27
Purple and Black,5,2018,28
Red/Maroon and White/Ivory,4,2018,29
Green and Black,3,2018,30
