Rank,Make,Units,Year
1,VOLKSWAGEN,13775,2018
2,TOYOTA,12037,2018
3,HYUNDAI,11633,2018
4,FORD,11289,2018
5,NISSAN,9701,2018
6,SKODA,9116,2018
7,KIA,7326,2018
8,RENAULT,7176,2018
9,PEUGEOT,5596,2018
10,AUDI,4919,2018
1,VOLKSWAGEN,13830,2017
2,TOYOTA,12684,2017
3,FORD,12243,2017
4,HYUNDAI,11916,2017
5,NISSAN,10349,2017
6,SKODA,9030,2017
7,RENAULT,8328,2017
8,KIA,7132,2017
9,OPEL,6526,2017
10,AUDI,5544,2017
1,TOYOTA,15530,2016
2,HYUNDAI,15442,2016
3,VOLKSWAGEN,15411,2016
4,FORD,14666,2016
5,NISSAN,11879,2016
6,SKODA,9447,2016
7,RENAULT,8379,2016
8,OPEL,7888,2016
9,KIA,6710,2016
10,AUDI,6066,2016
1,VOLKSWAGEN,15236,2015
2,TOYOTA,13109,2015
3,FORD,12055,2015
4,HYUNDAI,11484,2015
5,NISSAN,11198,2015
6,SKODA,7816,2015
7,OPEL,7483,2015
8,RENAULT,6090,2015
9,KIA,5481,2015
10,AUDI,5224,2015
1,VOLKSWAGEN,11674,2014
2,TOYOTA,10275,2014
3,FORD,9481,2014
4,HYUNDAI,8159,2014
5,NISSAN,7032,2014
6,OPEL,6356,2014
7,SKODA,6296,2014
8,RENAULT,4881,2014
9,AUDI,4272,2014
10,KIA,4236,2014
1,VOLKSWAGEN,9508,2013
2,TOYOTA,7662,2013
3,FORD,7621,2013
4,HYUNDAI,5892,2013
5,NISSAN,5317,2013
6,OPEL,4914,2013
7,SKODA,4903,2013
8,AUDI,3701,2013
9,BMW,3539,2013
10,KIA,3350,2013
1,VOLKSWAGEN,10150,2012
2,TOYOTA,9998,2012
3,FORD,8592,2012
4,NISSAN,6074,2012
5,RENAULT,5260,2012
6,HYUNDAI,5242,2012
7,OPEL,5103,2012
8,SKODA,5084,2012
9,AUDI,3685,2012
10,BMW,3393,2012
1,TOYOTA,11812,2011
2,VOLKSWAGEN,11238,2011
3,FORD,10519,2011
4,RENAULT,8580,2011
5,NISSAN,6786,2011
6,OPEL,6387,2011
7,SKODA,4651,2011
8,HYUNDAI,4011,2011
9,AUDI,3464,2011
10,BMW,3433,2011
1,FORD,11273,2010
2,TOYOTA,11129,2010
3,VOLKSWAGEN,10391,2010
4,RENAULT,9836,2010
5,OPEL,6614,2010
6,NISSAN,5625,2010
7,SKODA,4937,2010
8,HYUNDAI,3011,2010
9,PEUGEOT,3009,2010
10,AUDI,2909,2010
1,TOYOTA,8505,2009
2,FORD,8268,2009
3,VOLKSWAGEN,6446,2009
4,NISSAN,5023,2009
5,OPEL,4091,2009
6,AUDI,2732,2009
7,RENAULT,2478,2009
8,SKODA,2431,2009
9,PEUGEOT,1921,2009
10,HYUNDAI,1711,2009
1,TOYOTA,21724,2008
2,FORD,19125,2008
3,VOLKSWAGEN,15979,2008
4,OPEL,12667,2008
5,NISSAN,11367,2008
6,RENAULT,6031,2008
7,BMW,5857,2008
8,PEUGEOT,5457,2008
9,HYUNDAI,5355,2008
10,AUDI,5140,2008
